TimeStep,KilobotID,X,Y,Theta,Neighbors,CoMX,CoMY,EstimateHeading,EstimateError
582,0,545,395,5.0,0,545,395,0,0
585,0,545,394,5.0,0,545,394,0,0
588,0,545,393,5.0,0,545,393,0,0
591,0,546,393,5.0,0,546,393,0,0
594,0,546,392,5.0,0,546,392,0,0
597,0,546,391,5.0,0,546,391,0,0
600,0,546,390,5.0,0,546,390,0,0
603,0,546,390,5.0,0,546,390,0,0
606,0,547,389,5.0,0,547,389,0,0
609,0,547,388,5.0,0,547,388,0,0
612,0,547,387,5.0,0,547,387,0,0
615,0,547,386,5.0,0,547,386,0,0
618,0,548,386,5.0,0,548,386,0,0
621,0,548,385,5.0,0,548,385,0,0
624,0,548,384,5.0,0,548,384,0,0
627,0,548,383,5.0,0,548,383,0,0
630,0,549,383,5.0,0,549,383,0,0
633,0,549,382,5.0,0,549,382,0,0
636,0,549,381,5.0,0,549,381,0,0
639,0,549,380,5.0,0,549,380,0,0
642,0,549,380,5.0,0,549,380,0,0
645,0,550,379,5.0,0,550,379,0,0
648,0,550,378,5.0,0,550,378,0,0
651,0,550,377,5.0,0,550,377,0,0
654,0,550,377,5.0,0,550,377,0,0
657,0,551,376,5.0,0,551,376,0,0
660,0,551,375,5.0,0,551,375,0,0
663,0,551,374,5.0,0,551,374,0,0
666,0,551,373,5.0,0,551,373,0,0
669,0,551,373,5.0,0,551,373,0,0
672,0,552,372,5.0,0,552,372,0,0
675,0,552,371,5.0,0,552,371,0,0
678,0,552,370,5.0,0,552,370,0,0
681,0,552,370,5.0,0,552,370,0,0
684,0,553,369,5.0,0,553,369,0,0
687,0,553,368,5.0,0,553,368,0,0
690,0,553,367,5.0,0,553,367,0,0
693,0,553,367,5.0,0,553,367,0,0
696,0,554,366,5.0,0,554,366,0,0
699,0,554,365,5.0,0,554,365,0,0
702,0,554,364,5.0,0,554,364,0,0
705,0,554,363,5.0,0,554,363,0,0
708,0,554,363,5.0,0,554,363,0,0
711,0,555,362,5.0,0,555,362,0,0
714,0,555,361,5.0,0,555,361,0,0
717,0,555,360,5.0,0,555,360,0,0
720,0,555,360,5.0,0,555,360,0,0
723,0,556,359,5.0,0,556,359,0,0
726,0,556,358,5.0,0,556,358,0,0
729,0,556,357,5.0,0,556,357,0,0
732,0,556,357,5.0,0,556,357,0,0
735,0,556,356,5.0,0,556,356,0,0
738,0,557,355,5.0,0,557,355,0,0
741,0,557,354,5.0,0,557,354,0,0
744,0,557,353,5.0,0,557,353,0,0
747,0,557,353,5.0,0,557,353,0,0
750,0,558,352,5.0,0,558,352,0,0
753,0,558,351,5.0,0,558,351,0,0
756,0,558,350,5.0,0,558,350,0,0
759,0,558,350,5.0,0,558,350,0,0
762,0,559,349,5.0,0,559,349,0,0
765,0,559,348,5.0,0,559,348,0,0
768,0,559,347,5.0,0,559,347,0,0
771,0,559,347,5.0,0,559,347,0,0
774,0,559,346,5.0,0,559,346,0,0
777,0,560,345,5.0,0,560,345,0,0
780,0,560,344,5.0,0,560,344,0,0
783,0,560,344,5.0,0,560,344,0,0
786,0,560,343,5.0,0,560,343,0,0
789,0,561,342,5.0,0,561,342,0,0
792,0,561,341,5.0,0,561,341,0,0
795,0,561,340,5.0,0,561,340,0,0
798,0,561,340,5.0,0,561,340,0,0
801,0,561,339,5.0,0,561,339,0,0
804,0,562,338,5.0,0,562,338,0,0
807,0,562,337,5.0,0,562,337,0,0
810,0,562,337,5.0,0,562,337,0,0
813,0,562,336,5.0,0,562,336,0,0
816,0,563,335,5.0,0,563,335,0,0
819,0,563,334,5.0,0,563,334,0,0
822,0,563,334,5.0,0,563,334,0,0
825,0,563,333,5.0,0,563,333,0,0
828,0,564,332,5.0,0,564,332,0,0
831,0,564,331,5.0,0,564,331,0,0
834,0,564,330,5.0,0,564,330,0,0
837,0,564,330,5.0,0,564,330,0,0
840,0,564,329,5.0,0,564,329,0,0
843,0,565,328,5.0,0,565,328,0,0
846,0,565,327,5.0,0,565,327,0,0
849,0,565,327,5.0,0,565,327,0,0
852,0,565,326,5.0,0,565,326,0,0
855,0,566,325,5.0,0,566,325,0,0
858,0,566,324,5.0,0,566,324,0,0
