ObjectID,Frame,X,Y
2,3034,"[758.0, 696.5]","[584.0, 339.5]"
2,3035,"[758.0, 696.5]","[584.0, 339.5]"
2,3036,"[758.0, 696.5]","[584.0, 339.5]"
2,3037,"[758.0, 696.5]","[583.0, 339.5]"
2,3038,"[758.0, 696.5]","[583.0, 339.5]"
2,3039,"[758.0, 695.5]","[583.0, 339.5]"
2,3040,"[758.0, 695.5]","[583.0, 339.5]"
2,3041,"[758.0, 695.5]","[583.0, 339.5]"
2,3042,"[758.0, 696.5]","[583.0, 339.5]"
2,3043,"[758.0, 695.5]","[583.0, 339.5]"
2,3044,"[758.0, 695.5]","[582.0, 338.5]"
2,3045,"[758.0, 696.5]","[582.0, 339.5]"
2,3046,"[757.0, 695.5]","[582.0, 338.5]"
2,3047,"[757.0, 696.5]","[582.0, 338.5]"
2,3048,"[757.0, 695.5]","[582.0, 339.5]"
2,3049,"[758.0, 695.5]","[582.0, 338.5]"
2,3050,"[757.0, 695.5]","[582.0, 339.5]"
2,3051,"[757.0, 695.5]","[582.0, 338.5]"
2,3052,"[757.0, 695.5]","[582.0, 338.5]"
2,3053,"[757.0, 695.5]","[582.0, 338.5]"
2,3054,"[757.0, 695.5]","[582.0, 338.5]"
2,3055,"[757.0, 694.5]","[581.0, 338.5]"
2,3056,"[757.0, 694.5]","[581.0, 338.5]"
2,3057,"[757.0, 695.5]","[581.0, 338.5]"
2,3058,"[757.0, 695.5]","[581.0, 338.5]"
2,3059,"[756.0, 694.5]","[581.0, 338.5]"
2,3060,"[757.0, 695.5]","[581.0, 337.5]"
2,3061,"[757.0, 695.5]","[581.0, 337.5]"
2,3062,"[757.0, 694.5]","[581.0, 338.5]"
2,3063,"[757.0, 695.5]","[581.0, 338.5]"
2,3064,"[757.0, 694.5]","[581.0, 338.5]"
2,3065,"[756.0, 695.5]","[580.0, 337.5]"
2,3066,"[756.0, 694.5]","[580.0, 337.5]"
2,3067,"[756.0, 694.5]","[580.0, 338.5]"
2,3068,"[756.0, 694.5]","[580.0, 337.5]"
2,3069,"[756.0, 694.5]","[580.0, 338.5]"
2,3070,"[756.0, 694.5]","[580.0, 337.5]"
2,3071,"[757.0, 693.5]","[580.0, 337.5]"
2,3072,"[757.0, 693.5]","[580.0, 337.5]"
2,3073,"[756.0, 694.5]","[580.0, 337.5]"
2,3074,"[756.0, 693.5]","[580.0, 337.5]"
2,3075,"[756.0, 693.5]","[580.0, 337.5]"
2,3076,"[757.0, 694.5]","[580.0, 337.5]"
2,3077,"[756.0, 694.5]","[580.0, 337.5]"
2,3078,"[756.0, 695.5]","[580.0, 337.5]"
2,3079,"[757.0, 695.5]","[579.0, 337.5]"
2,3080,"[756.0, 694.5]","[579.0, 337.5]"
2,3081,"[756.0, 694.5]","[579.0, 337.5]"
2,3082,"[756.0, 695.5]","[579.0, 337.5]"
2,3083,"[756.0, 694.5]","[579.0, 337.5]"
2,3084,"[756.0, 694.5]","[579.0, 337.5]"
2,3085,"[756.0, 694.5]","[579.0, 337.5]"
2,3086,"[756.0, 694.5]","[578.0, 337.5]"
2,3087,"[756.0, 694.5]","[578.0, 337.5]"
2,3088,"[755.0, 694.5]","[578.0, 336.5]"
2,3089,"[756.0, 695.5]","[578.0, 337.5]"
2,3090,"[755.0, 694.5]","[578.0, 336.5]"
2,3091,"[755.0, 695.5]","[578.0, 337.5]"
2,3092,"[755.0, 694.5]","[578.0, 336.5]"
2,3093,"[755.0, 695.5]","[578.0, 336.5]"
2,3094,"[755.0, 694.5]","[578.0, 336.5]"
2,3095,"[755.0, 695.5]","[577.0, 336.5]"
2,3096,"[755.0, 694.5]","[578.0, 335.5]"
2,3097,"[755.0, 694.5]","[578.0, 336.5]"
2,3098,"[755.0, 694.5]","[578.0, 336.5]"
2,3099,"[755.0, 694.5]","[578.0, 335.5]"
2,3100,"[755.0, 694.5]","[578.0, 335.5]"
2,3101,"[755.0, 694.5]","[578.0, 335.5]"
2,3102,"[755.0, 694.5]","[577.0, 336.5]"
2,3103,"[755.0, 694.5]","[577.0, 335.5]"
2,3104,"[755.0, 694.5]","[577.0, 335.5]"
2,3105,"[755.0, 694.5]","[577.0, 335.5]"
2,3106,"[756.0, 694.5]","[577.0, 335.5]"
2,3107,"[756.0, 694.5]","[577.0, 334.5]"
2,3108,"[755.0, 694.5]","[577.0, 334.5]"
2,3109,"[755.0, 694.5]","[577.0, 335.5]"
2,3110,"[755.0, 694.5]","[576.0, 334.5]"
2,3111,"[755.0, 694.5]","[576.0, 334.5]"
2,3112,"[755.0, 694.5]","[576.0, 334.5]"
2,3113,"[755.0, 694.5]","[576.0, 334.5]"
2,3114,"[755.0, 694.5]","[576.0, 334.5]"
2,3115,"[755.0, 694.5]","[576.0, 334.5]"
2,3116,"[755.0, 694.5]","[576.0, 334.5]"
2,3117,"[755.0, 694.5]","[576.0, 334.5]"
2,3118,"[755.0, 694.5]","[576.0, 334.5]"
2,3119,"[755.0, 694.5]","[576.0, 334.5]"
2,3120,"[755.0, 693.5]","[576.0, 333.5]"
2,3121,"[755.0, 694.5]","[575.0, 333.5]"
2,3122,"[755.0, 693.5]","[575.0, 334.5]"
